baseball pants, baseball jersey, baseball cleats
basketball shorts, sleeveless jersey, basketball shoes
beach volleyball shorts, tank top, sand socks
board shorts, rash guard, water shoes
climbing pants, climbing t-shirt, climbing shoes
compression shorts, performance t-shirt, cross-training shoes
compression tights, long sleeve compression top, trail running shoes
cross-country running shorts, singlet, trail running shoes
crossfit shorts, crossfit t-shirt, crossfit shoes
cycling shorts, cycling jersey, cycling shoes
disc golf shorts, t-shirt, athletic shoes
golf shorts, golf polo, golf shoes
golf shorts, polo shirt, golf shoes
gym shorts, t-shirt, running shoes
joggers, hoodie, sneakers
lacrosse shorts, lacrosse jersey, lacrosse cleats
martial arts shorts, rash guard, martial arts shoes
mma shorts, mma gloves, mma shoes
rowing shorts, compression top, rowing shoes
rugby shorts, rugby jersey, rugby cleats
running shorts, performance singlet, running shoes
skateboarding shorts, t-shirt, shoes
ski pants, base layer top, ski boots
snowboarding pants, snowboarding jacket, snowboarding boots
soccer shorts, soccer jersey, cleats
surfing boardshorts, rash guard, surfing booties
sweatpants, long sleeve compression shirt, athletic sneakers
swim trunks, rash guard, flip flops
tennis shorts, polo shirt, tennis shoes
track pants, tank top, athletic shoes
track shorts, track singlet, track spikes
training shorts, compression shirt, crossfit shoes
triathlon suit, triathlon shoes
ultimate frisbee shorts, ultimate frisbee jersey, cleats
volleyball shorts, sleeveless top, volleyball shoes
weightlifting shorts, muscle tank top, weightlifting shoes
yoga pants, athletic tank top, barefoot shoes
yoga pants, yoga tank top, barefoot
